Gene,Gene Set Name,Category
LOC_Os06g39750,Fatty Acid Elongation,KEGG
LOC_Os10g41340,Fatty Acid Elongation,KEGG
LOC_Os11g37900,Fatty Acid Elongation,KEGG
LOC_Os12g01160,Fatty Acid Elongation,KEGG
LOC_Os01g06600,Fatty Acid Metabolism,KEGG
LOC_Os01g46750,Fatty Acid Metabolism,KEGG
LOC_Os01g48910,Fatty Acid Metabolism,KEGG
LOC_Os01g02020,Fatty Acid Metabolism,KEGG
LOC_Os01g24680,Fatty Acid Metabolism,KEGG
LOC_Os02g17390,Fatty Acid Metabolism,KEGG
LOC_Os02g42520,Fatty Acid Metabolism,KEGG
LOC_Os02g43194,Fatty Acid Metabolism,KEGG
LOC_Os02g43280,Fatty Acid Metabolism,KEGG
LOC_Os02g49720,Fatty Acid Metabolism,KEGG
LOC_Os02g57040,Fatty Acid Metabolism,KEGG
LOC_Os02g57260,Fatty Acid Metabolism,KEGG
LOC_Os03g08999,Fatty Acid Metabolism,KEGG
LOC_Os03g09020,Fatty Acid Metabolism,KEGG
LOC_Os03g62850,Fatty Acid Metabolism,KEGG
LOC_Os04g45720,Fatty Acid Metabolism,KEGG
LOC_Os05g04170,Fatty Acid Metabolism,KEGG
